시도,시군구,총계-개소수,총계-이용량,전작용-개소수,전작용-이용량,답작용-개소수,답작용-이용량,원예용-개소수,원예용-이용량,수산업용-개소수,수산업용-이용량,축산업용-개소수,축산업용-이용량,양어장용-개소수,양어장용-이용량,기타-개소수,기타-이용량
경기도,동두천시,424,732300,280,497888,85,120394,15,15976,0,0,21,62017,0,0,23,36025
경기도,미금시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,부천군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,부천시,273,418398,165,275477,35,23211,24,28315,0,0,6,8326,1,4380,42,78689
경기도,부천시 남구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,부천시 소사구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,부천시 오정구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,부천시 원미구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,부천시 중구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,성남시,532,1449209,283,763281,98,305793,72,191506,0,0,0,0,0,0,79,188629
경기도,성남시 분당구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,성남시 수정구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,성남시 중원구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,송탄시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,수원시,1083,1214256,571,822515,380,254077,54,69218,0,0,4,4766,1,1569,73,62111
경기도,수원시 권선구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,수원시 영통구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,수원시 장안구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,수원시 팔달구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,시흥군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,시흥시,2767,1603802,2075,1156362,587,151252,46,36301,2,18250,17,4320,6,34736,34,202581
경기도,안산시,1361,1967494,847,1404672,357,222148,39,48192,0,0,5,3728,14,8041,99,280713
경기도,안산시 단원구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
